feature,mutual_info,rf_importance,mi_normalized,rf_normalized,combined_score
FT,0.01974606907552512,0.08624796256399546,0.7569159847445989,0.9999999884055234,0.8784579865750611
LF_plus_HF,0.026087529813856314,0.0515032304581852,0.9999999616675106,0.597153003154331,0.7985764824109207
RSA,0.021482979789994028,0.06441390615494044,0.8234960964026311,0.746845531108056,0.7851708137553435
SDNN,0.02263347108657321,0.05257057336470164,0.8675972919043572,0.6095282855657757,0.7385627887350664
HF,0.017356676131270232,0.05025253180859196,0.6653246048894472,0.5826518068604007,0.623988205874924
SDNN_sqrt,0.01764300033034205,0.04559187725575527,0.6763001242329544,0.5286139564550574,0.6024570403440059
SDNN_SC_ratio,0.015570419294648419,0.05056861640002387,0.5968529335240205,0.5863166422764553,0.5915847879002378
LFHF,0.013080644857385249,0.04923104354496962,0.5014136811459943,0.5708081850354703,0.5361109330907323
LF_SDNN_ratio,0.013171967046281763,0.04691033827249442,0.5049142879894755,0.5439008219328824,0.5244075549611789
BMI,0.005601334290449289,0.07068715722436361,0.2147130876592643,0.8195805941773243,0.5171468409182943
SC,0.012076198974988461,0.045298457879659915,0.4629107699443224,0.525211912349081,0.49406134114670175
Age,0.007309188977909553,0.04645899397996009,0.2801794094681931,0.5386677210701654,0.4094235652691792
Age_BMI_interaction,0.0,0.05799789934273054,0.0,0.6724552899118187,0.33622764495590934
HF_sqrt,0.0021461357292875682,0.045171126730468275,0.08226672522597098,0.5237355743124483,0.30300114976920967
LF,0.0,0.04685101577177142,0.0,0.5432130085831911,0.27160650429159555
LF_sqrt,0.0,0.046334465862864445,0.0,0.5372238827237301,0.26861194136186506
Age_squared,0.0,0.045143620941204575,0.0,0.5234166590809798,0.2617083295404899
LF_HF_ratio,0.0,0.044204201649494,0.0,0.5125245840349002,0.2562622920174501
LF_minus_HF,0.0,0.04057786348882062,0.0,0.4704790908913704,0.2352395454456852
TCA,0.006032378238608471,0.0021164248217180673,0.23123607525954093,0.024538838185410524,0.12788745672247573
Sex,0.0,0.007262031915259325,0.0,0.0841994595022634,0.0420997297511317
MARTA,0.0,0.0032581829605220543,0.0,0.037776926270317125,0.018888463135158563
DM,0.0,0.0013484776075050329,0.0,0.015634892138693464,0.007817446069346732
